lnp_id,bioactivity_profile,Bio_InVitro_Log2,Bio_InVivo_Flux,Extracted_raw_expression,Extracted_bio_type,Extracted_numeric_value,Extracted_invitro_log2,Extracted_invivo_value,Extracted_Bio_Ordinal_Class
2,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 7.81 (Log2) in vitro, 3.625E+04 in vivo",7.81,36250.0,"7.81 (Log2) in vitro, 3.625E+04 in vivo",log2,,7.81,36250.0,2.0
3,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 6.32 (Log2) in vitro, 3.494E+04 in vivo",6.32,34940.0,"6.32 (Log2) in vitro, 3.494E+04 in vivo",log2,,6.32,34940.0,2.0
4,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 7.01 (Log2) in vitro, 1.941E+04 in vivo",7.01,19410.0,"7.01 (Log2) in vitro, 1.941E+04 in vivo",log2,,7.01,19410.0,2.0
5,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 7.63 (Log2) in vitro, 4.065E+04 in vivo",7.63,40650.0,"7.63 (Log2) in vitro, 4.065E+04 in vivo",log2,,7.63,40650.0,2.0
6,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 9.95 (Log2) in vitro, 1.384E+05 in vivo",9.95,138400.0,"9.95 (Log2) in vitro, 1.384E+05 in vivo",log2,,9.95,138400.0,3.0
7,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 9.61 (Log2) in vitro, 3.299E+04 in vivo",9.61,32990.0,"9.61 (Log2) in vitro, 3.299E+04 in vivo",log2,,9.61,32990.0,3.0
8,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 5.43 (Log2) in vitro, 7.301E+04 in vivo",5.43,73010.0,"5.43 (Log2) in vitro, 7.301E+04 in vivo",log2,,5.43,73010.0,2.0
9,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 4.09 (Log2) in vitro, 1.892E+04 in vivo",4.09,18920.0,"4.09 (Log2) in vitro, 1.892E+04 in vivo",log2,,4.09,18920.0,1.0
10,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 6.51 (Log2) in vitro, 3.379E+04 in vivo",6.51,33790.0,"6.51 (Log2) in vitro, 3.379E+04 in vivo",log2,,6.51,33790.0,2.0
11,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 7.77 (Log2) in vitro, 5.005E+05 in vivo",7.77,500500.0,"7.77 (Log2) in vitro, 5.005E+05 in vivo",log2,,7.77,500500.0,2.0
12,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 10.15 (Log2) in vitro, 4.675E+04 in vivo",10.15,46750.0,"10.15 (Log2) in vitro, 4.675E+04 in vivo",log2,,10.15,46750.0,3.0
13,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 9.59 (Log2) in vitro, 1.870E+04 in vivo",9.59,18700.0,"9.59 (Log2) in vitro, 1.870E+04 in vivo",log2,,9.59,18700.0,3.0
14,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 7.62 (Log2) in vitro, 1.952E+04 in vivo",7.62,19520.0,"7.62 (Log2) in vitro, 1.952E+04 in vivo",log2,,7.62,19520.0,2.0
15,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 5.58 (Log2) in vitro, 6.916E+05 in vivo",5.58,691600.0,"5.58 (Log2) in vitro, 6.916E+05 in vivo",log2,,5.58,691600.0,2.0
16,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 6.30 (Log2) in vitro, 8.059E+05 in vivo",6.3,805900.0,"6.30 (Log2) in vitro, 8.059E+05 in vivo",log2,,6.3,805900.0,2.0
17,"cell_line: HeLa; animal_model: mice; administration_route: intramuscular (IM); dose: 0.2 mg/kg mRNA; gene_expression_result: 6.21 (Log2) in vitro, 5.577E+04 in vivo",6.21,55770.0,"6.21 (Log2) in vitro, 5.577E+04 in vivo",log2,,6.21,55770.0,2.0
